team,year,pass_completions,pass_attempts,passing_yards,passing_tds,interceptions,sacks_taken,rush_attempts,rushing_yards,rushing_tds,fumbles_lost,total_plays,total_yards,total_turnovers,offensive_tds,yards_per_play,cmp_percentage,yards_per_pass,yards_per_rush,net_yards_per_pass,pass_td_int_ratio,conference,division
PHI,2021,307.0,529.0,3585.0,20.0,10.0,31.0,552.0,2715.0,25.0,4.0,1081.0,6300.0,14.0,45.0,5.827937,58.034027,6.7769375,4.9184785,6.401786,2.0,NFC,NFC East
PHI,2022,350.0,581.0,4364.0,25.0,9.0,44.0,547.0,2509.0,32.0,2.0,1128.0,6873.0,11.0,57.0,6.0930853,60.240967,7.5111876,4.5868373,6.9824,2.7777777,NFC,NFC East
PHI,2023,369.0,603.0,4067.0,24.0,16.0,39.0,511.0,2190.0,22.0,5.0,1114.0,6257.0,21.0,46.0,5.6166964,61.19403,6.7446103,4.285714,6.334891,1.5,NFC,NFC East
PHI,2024,303.0,494.0,3517.0,24.0,6.0,45.0,626.0,3048.0,29.0,3.0,1120.0,6565.0,9.0,53.0,5.861607,61.336033,7.1194334,4.8690095,6.5250463,4.0,NFC,NFC East
PIT,2020,428.0,675.0,4129.0,35.0,11.0,14.0,373.0,1351.0,12.0,2.0,1048.0,5480.0,13.0,47.0,5.2290077,63.40741,6.117037,3.621984,5.992743,3.1818182,AFC,AFC North
PIT,2021,425.0,707.0,4017.0,23.0,11.0,38.0,411.0,1583.0,10.0,0.0,1118.0,5600.0,11.0,33.0,5.0089445,60.113155,5.681754,3.8515816,5.3919463,2.090909,AFC,AFC North
PIT,2022,364.0,612.0,3661.0,12.0,14.0,38.0,500.0,2073.0,16.0,1.0,1112.0,5734.0,15.0,28.0,5.1564746,59.477127,5.982026,4.146,5.6323075,0.85714287,AFC,AFC North
PIT,2023,323.0,544.0,3421.0,13.0,9.0,36.0,488.0,2010.0,16.0,3.0,1032.0,5431.0,12.0,29.0,5.262597,59.375,6.288603,4.1188526,5.898276,1.4444444,AFC,AFC North
PIT,2024,321.0,550.0,3607.0,21.0,6.0,49.0,533.0,2166.0,14.0,4.0,1083.0,5773.0,10.0,35.0,5.330563,58.363636,6.558182,4.06379,6.021703,3.5,AFC,AFC North
SEA,2020,388.0,613.0,4245.0,40.0,13.0,48.0,411.0,1971.0,15.0,2.0,1024.0,6216.0,15.0,55.0,6.0703125,63.29527,6.924959,4.7956204,6.4220877,3.0769231,NFC,NFC West
SEA,2021,324.0,543.0,3815.0,30.0,7.0,46.0,413.0,2074.0,18.0,1.0,956.0,5889.0,8.0,48.0,6.160042,59.66851,7.0257826,5.021792,6.47708,4.285714,NFC,NFC West
SEA,2022,399.0,621.0,4282.0,30.0,12.0,46.0,425.0,2042.0,12.0,3.0,1046.0,6324.0,15.0,42.0,6.045889,64.251205,6.89533,4.804706,6.4197903,2.5,NFC,NFC West
SEA,2023,371.0,616.0,4167.0,23.0,12.0,38.0,382.0,1580.0,11.0,1.0,998.0,5747.0,13.0,34.0,5.7585173,60.227276,6.7646103,4.1361256,6.3715596,1.9166666,NFC,NFC West
SEA,2024,413.0,650.0,4379.0,21.0,16.0,54.0,383.0,1627.0,17.0,0.0,1033.0,6006.0,16.0,38.0,5.8141336,63.538464,6.736923,4.2480416,6.2201705,1.3125,NFC,NFC West
SF,2020,371.0,613.0,4320.0,25.0,17.0,39.0,437.0,1889.0,19.0,3.0,1050.0,6209.0,20.0,44.0,5.9133334,60.52202,7.0473084,4.3226542,6.6257668,1.4705882,NFC,NFC West
SF,2021,343.0,549.0,4437.0,26.0,14.0,33.0,500.0,2162.0,22.0,1.0,1049.0,6599.0,15.0,48.0,6.290753,62.47723,8.081967,4.324,7.623711,1.8571428,NFC,NFC West
SF,2022,338.0,543.0,4049.0,30.0,9.0,31.0,504.0,2360.0,20.0,4.0,1047.0,6409.0,13.0,50.0,6.121299,62.246777,7.456722,4.6825395,7.054007,3.3333333,NFC,NFC West
SF,2023,336.0,525.0,4577.0,33.0,12.0,34.0,499.0,2389.0,27.0,2.0,1024.0,6966.0,14.0,60.0,6.8027344,64.0,8.718095,4.7875752,8.187836,2.75,NFC,NFC West
SF,2024,349.0,570.0,4424.0,23.0,16.0,36.0,458.0,2163.0,17.0,3.0,1028.0,6587.0,19.0,40.0,6.4075875,61.228073,7.7614036,4.7227073,7.30033,1.4375,NFC,NFC West
TB,2020,410.0,650.0,4776.0,42.0,12.0,22.0,369.0,1519.0,16.0,1.0,1019.0,6295.0,13.0,58.0,6.177625,63.076927,7.3476925,4.1165314,7.107143,3.5,NFC,NFC South
TB,2021,492.0,755.0,5383.0,43.0,12.0,23.0,387.0,1672.0,18.0,3.0,1142.0,7055.0,15.0,61.0,6.177758,65.16556,7.1298013,4.3204136,6.919023,3.5833333,NFC,NFC South
TB,2022,499.0,779.0,4746.0,26.0,10.0,22.0,387.0,1308.0,5.0,3.0,1166.0,6054.0,13.0,31.0,5.1921096,64.05648,6.0924263,3.379845,5.9250937,2.6,NFC,NFC South
TB,2023,364.0,612.0,4044.0,28.0,10.0,40.0,439.0,1509.0,8.0,1.0,1051.0,5553.0,11.0,36.0,5.2835393,59.477127,6.607843,3.4373577,6.202454,2.8,NFC,NFC South
TB,2024,408.0,614.0,4505.0,41.0,16.0,40.0,483.0,2536.0,16.0,4.0,1097.0,7041.0,20.0,57.0,6.4184136,66.44951,7.3371334,5.2505174,6.888379,2.5625,NFC,NFC South
TEN,2020,316.0,513.0,3826.0,33.0,7.0,25.0,525.0,2690.0,26.0,2.0,1038.0,6516.0,9.0,59.0,6.2774568,61.59844,7.45809,5.1238093,7.111524,4.714286,AFC,AFC South
TEN,2021,359.0,583.0,3745.0,22.0,14.0,47.0,552.0,2404.0,23.0,4.0,1135.0,6149.0,18.0,45.0,5.417621,61.57805,6.423671,4.3550725,5.9444447,1.5714285,AFC,AFC South
TEN,2022,285.0,506.0,3227.0,16.0,11.0,49.0,487.0,2131.0,16.0,5.0,993.0,5358.0,16.0,32.0,5.3957705,56.324112,6.3774705,4.37577,5.8144145,1.4545455,AFC,AFC South
TEN,2023,304.0,559.0,3512.0,14.0,11.0,64.0,444.0,1846.0,16.0,4.0,1003.0,5358.0,15.0,30.0,5.3419743,54.382824,6.2826476,4.1576576,5.637239,1.2727273,AFC,AFC South
TEN,2024,336.0,585.0,3621.0,22.0,21.0,52.0,451.0,1855.0,11.0,7.0,1036.0,5476.0,28.0,33.0,5.285714,57.4359,6.1897435,4.113082,5.6844583,1.0476191,AFC,AFC South
WAS,2020,389.0,654.0,3796.0,16.0,16.0,50.0,402.0,1611.0,18.0,0.0,1056.0,5407.0,16.0,34.0,5.120265,59.480125,5.804281,4.0074625,5.3920455,1.0,NFC,NFC East
WAS,2021,356.0,597.0,3746.0,21.0,15.0,43.0,481.0,2061.0,13.0,3.0,1078.0,5807.0,18.0,34.0,5.3868275,59.631493,6.274707,4.2848234,5.853125,1.4,NFC,NFC East
WAS,2022,344.0,609.0,3783.0,24.0,16.0,48.0,538.0,2143.0,9.0,1.0,1147.0,5926.0,17.0,33.0,5.1665215,56.486042,6.2118225,3.9832714,5.757991,1.5,NFC,NFC East
WAS,2023,407.0,703.0,4174.0,24.0,21.0,65.0,361.0,1592.0,14.0,5.0,1064.0,5766.0,26.0,38.0,5.419173,57.894737,5.9374113,4.409972,5.434896,1.1428572,NFC,NFC East
WAS,2024,365.0,579.0,3932.0,29.0,9.0,50.0,528.0,2618.0,25.0,3.0,1107.0,6550.0,12.0,54.0,5.9168925,63.039726,6.791019,4.9583335,6.2511926,3.2222223,NFC,NFC East
